Name,Age,Gender,Country,State,City,Parent_Occupation,Earning_Class,Level_Student,Level_Course,Course_Name,Time_Per_Day,Material_Level,IQ,Assessment_Score,Promotion_Status
Student_58,15,Female,UK,Wales,Cardiff,Unemployed,Low,High School,Beginner,Art,21,Easy,100,70,Yes
Student_59,10,Male,India,Tamil Nadu,Coimbatore,Business Owner,High,Elementary,Beginner,Literature,146,Hard,123,79,Yes
Student_60,7,Female,India,Maharashtra,Mumbai,Business Owner,Middle,Elementary,Beginner,Math,218,Medium,87,64,Yes
Student_61,9,Female,USA,Florida,Orlando,Service Worker,Middle,Elementary,Beginner,Music,179,Medium,142,97,Yes
Student_62,17,Female,India,Maharashtra,Nagpur,Other,High,High School,Advanced,Computer Science,151,Medium,70,56,Yes
Student_63,17,Female,UK,England,London,Engineer,Low,High School,Beginner,Computer Science,39,Easy,95,67,Yes
Student_64,12,Female,India,Karnataka,Bangalore,Business Owner,Middle,Middle School,Intermediate,Computer Science,136,Medium,74,59,Yes
Student_65,17,Male,Australia,NSW,Sydney,Service Worker,Low,High School,Beginner,History,183,Medium,127,69,Yes
Student_66,13,Male,USA,California,Los Angeles,Admin,Low,Middle School,Beginner,Science,51,Medium,96,58,Yes
Student_67,8,Female,UK,England,London,Service Worker,Low,Elementary,Beginner,Literature,47,Medium,97,61,Yes
Student_68,6,Female,USA,New York,New York City,Engineer,Middle,Elementary,Advanced,Computer Science,96,Easy,106,76,Yes
Student_69,9,Male,UK,Wales,Cardiff,Teacher,Low,Elementary,Beginner,Math,20,Easy,99,47,No
Student_70,7,Female,Australia,Western Australia,Perth,Doctor,Low,Elementary,Intermediate,Computer Science,207,Hard,91,73,Yes
Student_71,13,Female,USA,New York,New York City,Unemployed,Low,Middle School,Beginner,Art,75,Medium,81,69,Yes
Student_72,9,Male,Canada,Quebec,Quebec City,Teacher,Low,Elementary,Beginner,Science,54,Medium,102,78,Yes
Student_73,7,Female,UK,Northern Ireland,Belfast,Teacher,High,Elementary,Beginner,Music,131,Easy,105,66,Yes
Student_74,11,Female,Canada,Alberta,Calgary,Other,Middle,Middle School,Intermediate,Science,49,Easy,110,73,Yes
Student_75,11,Female,USA,Illinois,Chicago,Engineer,High,Middle School,Beginner,Music,73,Medium,128,85,Yes
Student_76,15,Female,Canada,British Columbia,Victoria,Other,Middle,High School,Intermediate,Music,55,Medium,70,67,Yes
Student_77,9,Male,Canada,Ontario,Ottawa,Service Worker,Low,Elementary,Intermediate,Literature,202,Medium,98,86,Yes
Student_78,11,Female,USA,New York,New York City,Unemployed,Middle,Middle School,Beginner,History,236,Easy,117,88,Yes
Student_79,7,Male,Australia,Queensland,Brisbane,Teacher,Low,Elementary,Intermediate,Music,99,Medium,98,69,Yes
Student_80,15,Male,Canada,Ontario,Ottawa,Engineer,Low,High School,Advanced,Music,77,Easy,70,52,Yes
Student_81,17,Female,Canada,Ontario,Ottawa,Admin,Low,High School,Beginner,Literature,102,Easy,80,78,Yes
Student_82,7,Male,Australia,NSW,Sydney,Unemployed,Low,Elementary,Beginner,Computer Science,84,Medium,104,67,Yes
Student_83,15,Male,Canada,Ontario,Ottawa,Admin,Low,High School,Intermediate,Art,88,Easy,104,76,Yes
Student_84,9,Female,Canada,Quebec,Montreal,Engineer,Middle,Elementary,Intermediate,Math,147,Easy,110,80,Yes
Student_85,13,Male,Canada,Ontario,Ottawa,Admin,Middle,Middle School,Beginner,Literature,70,Medium,88,46,No
Student_86,12,Male,India,Tamil Nadu,Coimbatore,Admin,Low,Middle School,Advanced,History,41,Medium,103,61,Yes
Student_87,17,Female,Australia,Queensland,Brisbane,Service Worker,Low,High School,Intermediate,Literature,235,Hard,85,71,Yes
Student_88,14,Female,Canada,Quebec,Montreal,Admin,Middle,Middle School,Intermediate,Science,126,Medium,103,72,Yes
Student_89,13,Male,Australia,NSW,Sydney,Unemployed,Low,Middle School,Advanced,Computer Science,128,Easy,100,80,Yes
Student_90,10,Female,UK,Wales,Cardiff,Service Worker,Low,Elementary,Advanced,Computer Science,135,Easy,87,79,Yes
Student_91,7,Female,UK,Scotland,Edinburgh,Engineer,Middle,Elementary,Beginner,Music,120,Hard,123,66,Yes
Student_92,10,Female,Canada,British Columbia,Victoria,Business Owner,Low,Elementary,Advanced,Computer Science,200,Medium,74,63,Yes
Student_93,13,Female,Australia,Victoria,Melbourne,Engineer,Low,Middle School,Beginner,Computer Science,119,Medium,97,69,Yes
Student_94,15,Other,Australia,Victoria,Melbourne,Artist,Middle,High School,Advanced,Computer Science,183,Easy,87,81,Yes
Student_95,14,Female,Australia,Western Australia,Perth,Artist,Low,Middle School,Intermediate,Computer Science,87,Medium,127,76,Yes
Student_96,17,Female,India,Delhi,Delhi,Engineer,Middle,High School,Beginner,Math,55,Easy,108,61,Yes
Student_97,17,Female,UK,England,Manchester,Doctor,Middle,High School,Beginner,History,199,Medium,90,70,Yes
Student_98,17,Male,Australia,Western Australia,Perth,Engineer,Low,High School,Beginner,Music,200,Hard,95,74,Yes
Student_99,14,Male,Australia,Victoria,Melbourne,Unemployed,Middle,Middle School,Advanced,Computer Science,229,Hard,127,90,Yes
Student_100,6,Female,India,Tamil Nadu,Coimbatore,Other,Middle,Elementary,Intermediate,Music,197,Medium,85,73,Yes
Student_101,14,Female,India,Maharashtra,Nagpur,Engineer,Low,Middle School,Beginner,History,227,Medium,73,56,Yes
Student_102,12,Female,Australia,Western Australia,Perth,Other,Middle,Middle School,Beginner,Art,188,Hard,104,67,Yes
Student_103,14,Male,USA,California,San Francisco,Business Owner,Low,Middle School,Beginner,Computer Science,165,Medium,104,78,Yes
Student_104,13,Female,Australia,Victoria,Melbourne,Teacher,Middle,Middle School,Beginner,Music,41,Easy,109,82,Yes
Student_105,6,Male,Australia,Western Australia,Perth,Engineer,Low,Elementary,Intermediate,Literature,85,Medium,110,76,Yes
Student_106,17,Male,India,Maharashtra,Mumbai,Business Owner,Middle,High School,Advanced,Music,40,Easy,126,78,Yes
Student_107,13,Female,India,Uttar Pradesh,Kanpur,Admin,Low,Middle School,Intermediate,Computer Science,119,Medium,74,70,Yes
Student_108,13,Female,Australia,NSW,Sydney,Admin,Middle,Middle School,Beginner,Science,147,Medium,81,62,Yes
Student_109,16,Female,Australia,NSW,Sydney,Engineer,Low,High School,Intermediate,Math,63,Medium,109,72,Yes
Student_110,8,Female,Australia,Victoria,Melbourne,Engineer,Middle,Elementary,Beginner,Literature,122,Medium,83,72,Yes
Student_111,6,Male,India,Karnataka,Bangalore,Artist,Middle,Elementary,Advanced,Literature,66,Easy,78,71,Yes
Student_112,13,Female,Australia,Queensland,Brisbane,Teacher,Middle,Middle School,Advanced,Science,58,Medium,127,81,Yes
Student_113,8,Male,Australia,Victoria,Melbourne,Teacher,Middle,Elementary,Advanced,Computer Science,48,Hard,75,59,Yes
Student_114,8,Female,Canada,Quebec,Montreal,Teacher,Middle,Elementary,Beginner,Math,73,Medium,94,58,Yes
Student_115,6,Female,USA,Florida,Miami,Unemployed,Middle,Elementary,Intermediate,Literature,109,Medium,99,70,Yes
Student_116,16,Female,UK,Scotland,Edinburgh,Other,Middle,High School,Advanced,Math,104,Hard,119,64,Yes
Student_117,10,Female,USA,New York,Buffalo,Artist,Low,Elementary,Beginner,Literature,36,Hard,71,51,Yes
Student_118,15,Female,Canada,Ontario,Ottawa,Other,Middle,High School,Beginner,Computer Science,99,Easy,106,67,Yes
Student_119,12,Female,UK,Wales,Cardiff,Doctor,Middle,Middle School,Intermediate,Art,207,Easy,86,79,Yes
Student_120,15,Male,Australia,Victoria,Melbourne,Business Owner,High,High School,Advanced,Literature,178,Medium,109,61,Yes
Student_121,14,Male,Canada,Ontario,Ottawa,Teacher,Middle,Middle School,Beginner,Art,92,Hard,86,65,Yes
Student_122,17,Male,Australia,NSW,Sydney,Service Worker,Middle,High School,Intermediate,Literature,225,Hard,123,78,Yes
Student_123,12,Male,India,Maharashtra,Pune,Other,Low,Middle School,Advanced,History,68,Hard,86,74,Yes
Student_124,14,Female,Canada,Alberta,Calgary,Service Worker,Middle,Middle School,Intermediate,Computer Science,120,Medium,70,60,Yes
Student_125,13,Female,India,Tamil Nadu,Chennai,Doctor,Middle,Middle School,Intermediate,Science,21,Medium,88,61,Yes
Student_126,17,Male,Canada,Alberta,Calgary,Service Worker,Middle,High School,Beginner,Art,195,Easy,96,84,Yes
Student_127,7,Male,Canada,Ontario,Ottawa,Engineer,Middle,Elementary,Beginner,Science,161,Easy,116,82,Yes
Student_128,6,Male,India,Tamil Nadu,Coimbatore,Unemployed,Middle,Elementary,Beginner,Computer Science,78,Medium,81,65,Yes
Student_129,12,Female,UK,Wales,Cardiff,Business Owner,Middle,Middle School,Intermediate,Music,116,Medium,81,73,Yes
Student_130,12,Female,USA,Texas,Austin,Business Owner,Middle,Middle School,Beginner,Science,118,Medium,114,73,Yes
Student_131,13,Male,Australia,Western Australia,Perth,Service Worker,Middle,Middle School,Intermediate,Computer Science,205,Medium,79,79,Yes
Student_132,10,Female,Canada,Alberta,Edmonton,Service Worker,Low,Elementary,Intermediate,Science,122,Easy,97,62,Yes
Student_133,8,Female,Australia,Victoria,Melbourne,Engineer,Middle,Elementary,Beginner,Art,205,Medium,97,87,Yes
Student_134,17,Male,India,Uttar Pradesh,Kanpur,Service Worker,Middle,High School,Advanced,History,198,Easy,103,66,Yes
Student_135,13,Female,Australia,NSW,Sydney,Teacher,Low,Middle School,Advanced,Science,231,Medium,88,84,Yes
Student_136,11,Female,India,Delhi,Delhi,Admin,Low,Middle School,Advanced,Art,21,Medium,86,47,No
Student_137,16,Male,Australia,Victoria,Melbourne,Unemployed,High,High School,Intermediate,Literature,60,Medium,105,85,Yes
Student_138,8,Male,USA,New York,New York City,Unemployed,Low,Elementary,Intermediate,Computer Science,230,Hard,86,69,Yes
Student_139,6,Male,USA,Texas,Austin,Service Worker,Middle,Elementary,Intermediate,Math,142,Easy,79,63,Yes
Student_140,8,Male,USA,Illinois,Chicago,Business Owner,Middle,Elementary,Beginner,Music,101,Medium,118,90,Yes
Student_141,10,Female,USA,California,San Francisco,Engineer,Middle,Elementary,Intermediate,Math,163,Medium,107,67,Yes
Student_142,8,Female,USA,Illinois,Chicago,Admin,Middle,Elementary,Beginner,Computer Science,151,Medium,126,79,Yes
Student_143,6,Male,USA,New York,New York City,Teacher,Low,Elementary,Beginner,History,159,Hard,111,92,Yes
Student_144,10,Male,India,Tamil Nadu,Coimbatore,Business Owner,Middle,Elementary,Advanced,Science,48,Medium,80,65,Yes
Student_145,15,Male,Canada,Alberta,Calgary,Teacher,Middle,High School,Advanced,History,154,Hard,101,52,Yes
Student_146,12,Male,Australia,Queensland,Brisbane,Engineer,Middle,Middle School,Advanced,Math,33,Easy,84,65,Yes
Student_147,12,Female,USA,New York,New York City,Service Worker,Low,Middle School,Beginner,Music,31,Hard,75,51,Yes
Student_148,16,Male,India,Karnataka,Bangalore,Engineer,Middle,High School,Beginner,Art,118,Easy,93,75,Yes
Student_149,14,Male,India,Tamil Nadu,Coimbatore,Admin,Low,Middle School,Beginner,Music,152,Hard,114,71,Yes
Student_150,15,Male,India,Tamil Nadu,Chennai,Doctor,Low,High School,Intermediate,Computer Science,100,Medium,104,76,Yes
Student_151,15,Female,Canada,British Columbia,Vancouver,Engineer,Low,High School,Beginner,Computer Science,125,Medium,79,53,Yes
Student_152,17,Male,Australia,Victoria,Melbourne,Business Owner,Low,High School,Advanced,History,51,Medium,92,61,Yes
Student_153,8,Female,Canada,British Columbia,Victoria,Engineer,Middle,Elementary,Advanced,Art,93,Hard,97,66,Yes
Student_154,12,Male,UK,Northern Ireland,Belfast,Teacher,Low,Middle School,Beginner,History,190,Easy,74,66,Yes
Student_155,6,Female,India,Uttar Pradesh,Lucknow,Admin,High,Elementary,Beginner,Science,100,Medium,110,82,Yes
Student_156,9,Female,UK,Northern Ireland,Belfast,Engineer,High,Elementary,Advanced,Literature,88,Hard,96,57,Yes
Student_157,9,Male,USA,Illinois,Chicago,Unemployed,Middle,Elementary,Beginner,Art,64,Medium,79,63,Yes
Student_158,10,Male,USA,Florida,Orlando,Engineer,Low,Elementary,Advanced,Literature,125,Easy,78,69,Yes
Student_159,12,Female,Canada,Ontario,Ottawa,Teacher,Middle,Middle School,Intermediate,Music,156,Medium,116,69,Yes
Student_160,12,Female,Australia,NSW,Sydney,Admin,Middle,Middle School,Advanced,Science,196,Medium,94,73,Yes
Student_161,16,Male,UK,England,Birmingham,Doctor,Middle,High School,Intermediate,Literature,180,Hard,117,64,Yes
Student_162,9,Female,Australia,NSW,Sydney,Engineer,Low,Elementary,Beginner,Math,119,Medium,123,74,Yes
Student_163,12,Female,Canada,Quebec,Montreal,Doctor,Middle,Middle School,Beginner,Music,165,Medium,115,78,Yes
Student_164,16,Female,USA,Illinois,Chicago,Teacher,Middle,High School,Intermediate,Literature,28,Hard,91,47,No
Student_165,8,Male,Australia,Western Australia,Perth,Unemployed,Middle,Elementary,Beginner,Science,81,Medium,70,65,Yes
Student_166,11,Female,Australia,Queensland,Brisbane,Doctor,Low,Middle School,Intermediate,Literature,204,Easy,104,83,Yes
Student_167,17,Male,USA,California,San Francisco,Admin,Middle,High School,Beginner,Computer Science,48,Easy,131,86,Yes
Student_168,7,Female,UK,Northern Ireland,Belfast,Unemployed,Low,Elementary,Advanced,History,144,Medium,99,72,Yes
Student_169,15,Male,USA,Texas,Dallas,Business Owner,Low,High School,Beginner,Math,133,Easy,70,58,Yes
Student_170,14,Male,Australia,Western Australia,Perth,Other,Middle,Middle School,Advanced,Computer Science,225,Hard,89,68,Yes
Student_171,10,Male,UK,England,London,Doctor,Low,Elementary,Advanced,Computer Science,172,Medium,97,78,Yes
Student_172,11,Female,UK,Wales,Cardiff,Other,Low,Middle School,Intermediate,Science,162,Easy,83,63,Yes
Student_173,17,Male,USA,Florida,Orlando,Engineer,Low,High School,Beginner,History,153,Medium,70,55,Yes
Student_174,17,Male,Australia,Queensland,Brisbane,Service Worker,Middle,High School,Intermediate,History,139,Medium,98,69,Yes
Student_175,17,Male,Canada,Quebec,Quebec City,Business Owner,Middle,High School,Beginner,Art,189,Hard,88,63,Yes
Student_176,17,Female,Australia,Western Australia,Perth,Artist,Middle,High School,Advanced,Music,176,Hard,126,76,Yes
Student_177,9,Other,India,Delhi,Delhi,Service Worker,Middle,Elementary,Advanced,Math,98,Medium,101,68,Yes
Student_178,16,Male,Canada,Quebec,Quebec City,Admin,Low,High School,Beginner,Music,112,Medium,107,74,Yes
Student_179,15,Female,UK,Scotland,Glasgow,Engineer,Middle,High School,Beginner,Science,23,Medium,98,75,Yes
Student_180,12,Female,Canada,Quebec,Quebec City,Teacher,Middle,Middle School,Intermediate,Math,101,Medium,101,75,Yes
Student_181,17,Female,UK,England,London,Admin,Low,High School,Beginner,Art,204,Easy,75,73,Yes
Student_182,14,Male,UK,England,London,Service Worker,Middle,Middle School,Beginner,Literature,196,Easy,84,66,Yes
Student_183,12,Male,Canada,Alberta,Edmonton,Other,High,Middle School,Beginner,Computer Science,191,Medium,116,74,Yes
Student_184,6,Male,UK,Northern Ireland,Belfast,Admin,Low,Elementary,Intermediate,Math,227,Easy,103,89,Yes
Student_185,6,Male,UK,Northern Ireland,Belfast,Other,Low,Elementary,Beginner,Music,94,Easy,94,69,Yes
Student_186,14,Male,India,Karnataka,Mysore,Admin,Low,Middle School,Advanced,Computer Science,33,Medium,107,61,Yes
Student_187,16,Female,Australia,Western Australia,Perth,Teacher,Low,High School,Intermediate,Science,150,Easy,107,96,Yes
Student_188,14,Male,Australia,Victoria,Melbourne,Engineer,High,Middle School,Intermediate,Music,133,Medium,129,93,Yes
Student_189,9,Male,India,Uttar Pradesh,Kanpur,Admin,Middle,Elementary,Advanced,Literature,81,Medium,102,69,Yes
Student_190,14,Female,Canada,Quebec,Montreal,Service Worker,Middle,Middle School,Advanced,Science,125,Hard,84,53,Yes
Student_191,8,Male,USA,New York,New York City,Engineer,Middle,Elementary,Advanced,Literature,83,Medium,98,74,Yes
Student_192,12,Female,USA,New York,New York City,Doctor,Low,Middle School,Beginner,Literature,121,Easy,109,75,Yes
Student_193,11,Female,USA,New York,Buffalo,Other,Middle,Middle School,Advanced,Computer Science,192,Medium,114,86,Yes
Student_194,13,Male,India,Tamil Nadu,Chennai,Business Owner,Middle,Middle School,Beginner,Science,125,Hard,75,55,Yes
Student_195,16,Female,India,Uttar Pradesh,Kanpur,Business Owner,Middle,High School,Intermediate,Science,229,Hard,103,86,Yes
Student_196,14,Female,UK,Northern Ireland,Belfast,Business Owner,High,Middle School,Intermediate,Math,205,Medium,86,67,Yes
Student_197,10,Female,USA,New York,Buffalo,Teacher,Middle,Elementary,Advanced,Music,39,Medium,91,83,Yes
Student_198,6,Female,Canada,Alberta,Edmonton,Doctor,Middle,Elementary,Beginner,Science,77,Hard,112,69,Yes
Student_199,8,Female,Canada,Quebec,Montreal,Doctor,Middle,Elementary,Advanced,Math,131,Easy,111,91,Yes
Student_200,15,Female,USA,Texas,Houston,Engineer,Low,High School,Advanced,History,236,Medium,89,69,Yes
Student_201,17,Male,USA,New York,New York City,Admin,Low,High School,Beginner,History,76,Medium,97,57,Yes
Student_202,13,Male,USA,Illinois,Chicago,Artist,Low,Middle School,Advanced,History,224,Easy,91,60,Yes
Student_203,16,Male,India,Karnataka,Mysore,Unemployed,Low,High School,Intermediate,Art,215,Medium,143,99,Yes
Student_204,11,Female,India,Tamil Nadu,Chennai,Unemployed,Middle,Middle School,Advanced,Science,138,Easy,104,79,Yes
Student_205,13,Male,India,Delhi,Delhi,Teacher,Middle,Middle School,Beginner,Art,225,Medium,87,62,Yes
Student_206,14,Female,Australia,Victoria,Melbourne,Service Worker,High,Middle School,Beginner,Music,116,Hard,119,82,Yes
Student_207,9,Female,Canada,Quebec,Montreal,Business Owner,Middle,Elementary,Intermediate,Science,111,Easy,120,91,Yes
Student_208,6,Female,Canada,British Columbia,Victoria,Unemployed,Middle,Elementary,Beginner,Math,71,Hard,126,82,Yes
Student_209,6,Other,UK,Northern Ireland,Belfast,Teacher,Low,Elementary,Beginner,Art,56,Easy,131,71,Yes
Student_210,15,Female,India,Karnataka,Mysore,Service Worker,Low,High School,Intermediate,Art,27,Medium,110,79,Yes
Student_211,9,Female,Australia,Queensland,Brisbane,Service Worker,Middle,Elementary,Advanced,Music,63,Easy,94,74,Yes
Student_212,17,Male,Australia,Queensland,Brisbane,Teacher,Middle,High School,Intermediate,Art,117,Hard,96,76,Yes
Student_213,12,Female,Canada,British Columbia,Vancouver,Engineer,Middle,Middle School,Advanced,Literature,152,Medium,95,75,Yes
Student_214,7,Male,India,Karnataka,Mysore,Service Worker,Low,Elementary,Intermediate,Math,137,Medium,93,71,Yes
Student_215,8,Male,UK,Wales,Cardiff,Admin,Low,Elementary,Advanced,History,88,Hard,118,80,Yes
Student_216,6,Female,India,Delhi,Delhi,Doctor,Middle,Elementary,Intermediate,Math,178,Medium,100,81,Yes
Student_217,10,Female,USA,California,San Diego,Service Worker,Low,Elementary,Advanced,Literature,64,Hard,114,76,Yes
Student_218,6,Male,India,Delhi,Delhi,Artist,Low,Elementary,Intermediate,Music,156,Medium,110,72,Yes
Student_219,13,Female,USA,New York,Buffalo,Admin,Middle,Middle School,Advanced,Music,51,Hard,83,56,Yes
Student_220,6,Female,USA,Illinois,Chicago,Teacher,Low,Elementary,Intermediate,Science,52,Medium,74,46,No
Student_221,16,Female,UK,Wales,Cardiff,Unemployed,Middle,High School,Beginner,Math,145,Easy,81,67,Yes
Student_222,6,Female,Canada,Alberta,Edmonton,Teacher,Low,Elementary,Advanced,Music,86,Medium,93,74,Yes
Student_223,7,Female,India,Uttar Pradesh,Lucknow,Doctor,Low,Elementary,Intermediate,Art,49,Easy,102,78,Yes
Student_224,7,Other,USA,Illinois,Chicago,Engineer,Middle,Elementary,Advanced,Music,133,Medium,90,61,Yes
Student_225,17,Female,India,Tamil Nadu,Coimbatore,Engineer,Middle,High School,Advanced,Music,223,Medium,110,89,Yes
Student_226,11,Female,Canada,British Columbia,Victoria,Business Owner,Middle,Middle School,Intermediate,Music,48,Medium,92,89,Yes
Student_227,12,Other,Canada,Alberta,Edmonton,Teacher,Middle,Middle School,Advanced,Music,150,Easy,103,71,Yes
Student_228,10,Female,Australia,Queensland,Brisbane,Unemployed,Low,Elementary,Intermediate,History,237,Easy,101,81,Yes
Student_229,6,Male,Canada,Ontario,Toronto,Engineer,Middle,Elementary,Beginner,History,204,Medium,126,78,Yes
Student_230,6,Male,UK,Scotland,Edinburgh,Doctor,Low,Elementary,Advanced,Science,49,Hard,85,57,Yes
Student_231,8,Male,USA,Texas,Austin,Doctor,Middle,Elementary,Beginner,Music,156,Medium,133,85,Yes
